Age,Gender,Occupation,ScreenTime,SocialMedia,Gaming,Streaming,WorkEducation,Unlocks,AppSwitching,Notifications,LateNightUsage,SleepHours,MoodScore,PhysicalActivity,HeartRate,AddictionLevel
50,Male,Unemployed,19.0,5.5,1.4,4.8,6.7,163,8,83,1.3,5.0,8,1.7,74,High
63,Female,Professional,12.2,1.9,2.0,1.5,5.0,240,14,597,1.2,7.1,8,3.0,88,High
40,Male,Unemployed,7.5,1.1,2.1,0.8,1.6,163,30,332,3.8,8.1,7,1.6,87,Moderate
26,Male,Unemployed,17.6,2.9,4.0,3.0,6.2,180,7,447,2.3,7.3,9,2.1,86,High
54,Male,Student,11.6,3.9,0.9,1.7,3.2,58,54,291,0.8,6.0,7,1.9,78,Moderate
19,Female,Unemployed,12.6,1.8,2.7,4.8,2.3,65,57,180,1.0,8.9,10,2.6,83,Moderate
32,Other,Unemployed,15.4,3.6,0.6,3.1,7.0,185,47,180,0.1,4.0,3,1.5,75,High
50,Female,Student,21.5,4.9,3.7,4.8,6.9,170,21,237,1.3,5.5,1,0.5,83,High
30,Other,Professional,15.9,1.9,2.4,4.0,6.9,45,53,471,2.5,8.8,3,0.7,82,Moderate
34,Male,Professional,19.5,3.7,3.4,3.8,6.9,68,31,533,1.2,5.9,2,1.1,89,High
22,Other,Professional,15.9,2.4,3.6,4.2,4.4,100,26,174,0.9,7.1,6,0.6,71,High
22,Male,Unemployed,15.0,3.4,2.2,3.2,4.9,121,48,164,0.2,5.2,5,2.4,84,High
35,Male,Student,16.5,4.2,2.7,0.6,7.6,128,40,512,3.4,7.5,10,1.1,84,High
64,Female,Professional,9.3,2.4,2.8,2.3,1.0,43,12,149,2.6,7.2,9,1.1,84,Low
47,Male,Professional,17.5,6.0,1.8,1.5,6.5,146,37,525,3.6,7.1,8,1.5,92,High
51,Female,Professional,13.1,3.6,1.7,2.5,4.2,126,30,79,0.1,5.9,5,0.9,78,High
35,Other,Professional,16.8,5.0,0.7,2.6,7.8,102,35,292,3.7,8.8,2,0.4,85,High
14,Other,Student,13.0,4.5,1.5,1.1,5.1,189,57,128,2.1,7.2,10,2.2,82,High
33,Male,Professional,11.9,5.2,4.0,0.6,1.3,145,15,240,0.5,4.5,6,1.8,75,High
64,Female,Unemployed,10.9,1.5,1.1,1.1,6.5,46,33,581,1.0,7.7,10,0.6,80,Low
13,Male,Unemployed,15.4,1.7,3.0,4.4,5.4,149,33,552,0.6,5.6,5,0.2,74,High
35,Female,Student,10.5,3.2,0.2,3.9,1.2,135,42,164,0.9,5.7,4,1.6,70,Moderate
55,Female,Self-employed,12.5,5.2,1.9,4.1,0.1,155,41,331,1.1,5.1,8,2.0,86,High
41,Female,Professional,9.3,1.6,0.2,1.7,4.3,98,19,529,2.3,7.2,8,0.7,89,Low
49,Other,Professional,12.0,5.8,1.9,1.6,1.9,144,58,575,1.0,8.8,8,1.2,87,High
13,Female,Unemployed,9.5,1.2,0.1,0.7,6.9,188,55,135,2.0,8.1,5,2.6,74,Moderate
32,Other,Student,9.5,1.5,2.5,2.6,2.0,160,19,557,2.6,8.6,6,1.5,87,Moderate
44,Female,Self-employed,12.9,1.4,2.3,2.2,5.3,110,11,599,3.1,8.7,3,2.6,85,Moderate
23,Other,Unemployed,15.3,3.7,3.2,4.3,2.8,169,53,234,3.5,4.0,6,1.6,92,High
33,Other,Self-employed,14.8,5.5,2.3,3.6,2.8,138,57,591,0.6,7.1,3,1.8,82,High
55,Other,Student,9.9,1.9,3.7,1.1,1.5,66,33,276,2.6,8.7,8,1.7,79,Low
36,Male,Student,16.3,3.5,3.1,4.9,4.0,66,37,403,0.5,6.8,9,0.4,75,High
60,Female,Student,11.8,1.5,0.5,4.0,4.6,84,50,158,0.9,7.4,5,0.1,77,Low
38,Male,Unemployed,15.4,4.0,1.1,3.7,4.6,216,55,382,2.3,6.2,9,2.2,88,High
53,Female,Student,10.3,1.2,0.1,1.5,6.9,176,58,513,3.8,8.3,8,1.8,87,Moderate
39,Female,Unemployed,16.3,3.2,1.5,4.6,5.2,98,20,487,2.4,4.8,8,1.0,80,High
27,Male,Unemployed,16.4,4.1,2.0,2.6,5.9,137,38,392,3.5,4.5,2,1.8,92,High
26,Other,Professional,13.1,3.7,3.8,1.8,2.6,49,25,414,2.7,5.9,8,1.6,79,High
