iter	Passed	Remaining
0	185	92377
1	195	48555
2	204	33819
3	214	26616
4	227	22510
5	245	20186
6	254	17918
7	264	16279
8	275	15015
9	285	14004
10	296	13163
11	307	12490
12	316	11864
13	326	11351
14	336	10867
15	345	10456
16	355	10086
17	364	9749
18	374	9482
19	385	9251
20	395	9027
21	411	8933
22	421	8741
23	432	8573
24	442	8405
25	451	8233
26	464	8130
27	475	8010
28	491	7986
29	500	7843
30	511	7738
31	521	7630
32	532	7531
33	546	7483
34	560	7452
35	572	7381
36	582	7292
37	592	7208
38	602	7126
39	612	7046
40	622	6970
41	632	6897
42	642	6824
43	652	6763
44	662	6698
45	673	6651
46	688	6632
47	697	6568
48	708	6517
49	717	6461
50	727	6401
51	737	6356
52	747	6300
53	756	6247
54	766	6204
55	776	6153
56	787	6120
57	797	6077
58	808	6042
59	822	6034
60	832	5993
61	842	5953
62	852	5915
63	861	5870
64	871	5832
65	880	5792
66	890	5755
67	900	5722
68	910	5684
69	920	5653
70	930	5623
71	940	5591
72	950	5560
73	960	5530
74	972	5508
75	984	5495
76	994	5463
77	1004	5437
78	1015	5411
79	1025	5382
80	1035	5356
81	1045	5328
82	1055	5300
83	1064	5273
84	1074	5247
85	1084	5219
86	1094	5194
87	1104	5170
88	1113	5142
89	1123	5118
90	1134	5099
91	1144	5074
92	1154	5051
93	1165	5033
94	1176	5014
95	1188	5001
96	1201	4990
97	1213	4978
98	1224	4960
99	1234	4937
100	1245	4918
101	1255	4900
102	1267	4885
103	1279	4872
104	1290	4856
105	1304	4850
106	1319	4847
107	1329	4824
108	1339	4805
109	1350	4786
110	1360	4766
111	1371	4749
112	1385	4743
113	1395	4724
114	1412	4728
115	1422	4709
116	1434	4696
117	1445	4680
118	1458	4669
119	1481	4692
120	1496	4688
121	1512	4684
122	1524	4671
123	1541	4674
124	1564	4694
125	1582	4696
126	1598	4695
127	1614	4691
128	1630	4688
129	1646	4685
130	1660	4676
131	1683	4692
132	1698	4686
133	1711	4673
134	1723	4659
135	1735	4645
136	1749	4634
137	1761	4621
138	1773	4605
139	1791	4606
140	1803	4591
141	1816	4580
142	1829	4566
143	1841	4552
144	1853	4537
145	1866	4524
146	1878	4510
147	1889	4494
148	1902	4481
149	1913	4465
150	1927	4455
151	1939	4440
152	1949	4421
153	1961	4405
154	1973	4393
155	1986	4380
156	1999	4367
157	2014	4361
158	2030	4354
159	2043	4343
160	2056	4329
161	2066	4311
162	2078	4297
163	2089	4281
164	2101	4266
165	2115	4256
166	2129	4246
167	2142	4233
168	2151	4214
169	2163	4199
170	2174	4183
171	2192	4180
172	2202	4162
173	2214	4149
174	2225	4133
175	2237	4118
176	2251	4109
177	2263	4094
178	2275	4080
179	2285	4063
180	2295	4046
181	2306	4029
182	2320	4019
183	2336	4013
184	2347	3997
185	2359	3983
186	2369	3965
187	2379	3949
188	2390	3934
189	2404	3922
190	2421	3916
191	2431	3900
192	2443	3886
193	2454	3870
194	2465	3855
195	2477	3843
196	2493	3835
197	2505	3821
198	2514	3803
199	2524	3787
200	2535	3771
201	2546	3757
202	2559	3745
203	2574	3735
204	2585	3721
205	2596	3705
206	2607	3690
207	2617	3674
208	2629	3661
209	2644	3652
210	2658	3641
211	2672	3630
212	2682	3614
213	2693	3599
214	2703	3584
215	2714	3568
216	2724	3553
217	2735	3539
218	2746	3524
219	2757	3509
220	2770	3497
221	2783	3485
222	2798	3475
223	2808	3460
224	2819	3446
225	2829	3430
226	2840	3415
227	2852	3402
228	2861	3386
229	2872	3371
230	2882	3356
231	2891	3340
232	2902	3325
233	2911	3309
234	2920	3293
235	2931	3279
236	2940	3262
237	2950	3248
238	2959	3232
239	2968	3215
240	2978	3200
241	2987	3185
242	2997	3170
243	3007	3155
244	3018	3141
245	3028	3127
246	3038	3112
247	3049	3098
248	3059	3083
249	3068	3068
250	3078	3054
251	3088	3039
252	3098	3024
253	3107	3010
254	3117	2995
255	3126	2980
256	3137	2966
257	3146	2951
258	3155	2936
259	3165	2922
260	3174	2907
261	3183	2892
262	3193	2877
263	3203	2863
264	3213	2849
265	3223	2835
266	3233	2821
267	3242	2806
268	3251	2792
269	3262	2779
270	3272	2765
271	3281	2750
272	3291	2737
273	3301	2723
274	3311	2709
275	3320	2694
276	3329	2680
277	3339	2666
278	3349	2653
279	3359	2639
280	3369	2625
281	3379	2612
282	3389	2598
283	3398	2584
284	3408	2571
285	3418	2557
286	3429	2544
287	3440	2532
288	3449	2518
289	3459	2505
290	3469	2491
291	3478	2477
292	3487	2463
293	3496	2450
294	3507	2437
295	3517	2424
296	3527	2410
297	3536	2397
298	3545	2383
299	3556	2371
300	3566	2357
301	3576	2344
302	3585	2330
303	3595	2318
304	3605	2305
305	3615	2291
306	3625	2279
307	3641	2269
308	3650	2256
309	3661	2244
310	3671	2231
311	3681	2218
312	3692	2206
313	3702	2193
314	3713	2181
315	3724	2168
316	3734	2155
317	3744	2143
318	3756	2131
319	3774	2122
320	3783	2109
321	3793	2097
322	3803	2084
323	3813	2071
324	3824	2059
325	3834	2046
326	3844	2033
327	3854	2021
328	3863	2008
329	3874	1995
330	3885	1983
331	3894	1970
332	3904	1958
333	3914	1945
334	3924	1932
335	3933	1919
336	3942	1907
337	3952	1894
338	3961	1881
339	3971	1869
340	3981	1856
341	3991	1843
342	4002	1832
343	4013	1819
344	4022	1807
345	4032	1794
346	4041	1782
347	4051	1769
348	4061	1757
349	4071	1744
350	4080	1732
351	4090	1719
352	4100	1707
353	4109	1695
354	4119	1682
355	4129	1670
356	4138	1657
357	4148	1645
358	4158	1633
359	4168	1621
360	4177	1608
361	4187	1596
362	4197	1584
363	4206	1571
364	4216	1559
365	4225	1547
366	4234	1534
367	4244	1522
368	4254	1510
369	4263	1497
370	4274	1486
371	4284	1474
372	4294	1462
373	4303	1449
374	4313	1437
375	4323	1425
376	4332	1413
377	4342	1401
378	4352	1389
379	4361	1377
380	4371	1365
381	4381	1353
382	4391	1341
383	4402	1329
384	4411	1317
385	4420	1305
386	4430	1293
387	4441	1282
388	4451	1270
389	4461	1258
390	4472	1246
391	4483	1235
392	4492	1223
393	4503	1211
394	4513	1199
395	4524	1188
396	4534	1176
397	4543	1164
398	4553	1152
399	4564	1141
400	4572	1128
401	4582	1117
402	4591	1105
403	4600	1093
404	4610	1081
405	4622	1070
406	4635	1059
407	4646	1047
408	4656	1036
409	4668	1024
410	4678	1013
411	4688	1001
412	4698	989
413	4708	978
414	4718	966
415	4729	954
416	4738	943
417	4750	931
418	4766	921
419	4777	909
420	4787	898
421	4797	886
422	4807	875
423	4817	863
424	4827	851
425	4837	840
426	4848	828
427	4866	818
428	4877	807
429	4889	796
430	4903	785
431	4917	774
432	4928	762
433	4937	750
434	4947	739
435	4958	727
436	4969	716
437	4980	705
438	4997	694
439	5008	683
440	5018	671
441	5029	659
442	5042	648
443	5061	638
444	5070	626
445	5081	615
446	5091	603
447	5101	592
448	5115	581
449	5129	569
450	5148	559
451	5159	547
452	5168	536
453	5180	524
